sampleID Exposure_level Biomarker2_detected
A 0.654055170016363 1
B 0.672028516884893 0
C 0.886463718488812 1
D 0.284332562703639 0
E 0.041668388992548 0
F 0.452635339228436 1
G 0.640935442410409 1
H 0.650198029819876 1
I 0.201956938952208 0
J 0.173402315238491 0
K 0.604381693061441 1
L 0.617245550500229 1
M 0.520709929987788 1
N 0.0641072692815214 0
O 0.173333746846765 0
P 0.507545590866357 1
Q 0.264623972820118 0 
R 0.852105502970517 1
S 0.54300181614235 1
T 0.0982718688901514 0
U 0.198788278037682 0
V 0.929174351971596 1
W 0.476566874887794 1
X 0.0759052645880729 0
Y 0.601804635254666 1
Z 0.5818326624576 1
